,acousticness,instrumentalness,key,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Emotion
195,0.0384,0.0,1,0.72,0.791,0.0,1,0.157,-4.689,1,0.124,102.071,4,0.756,0
196,0.192,0.0,7,0.491,0.605,0.0,7,0.289,-10.098,1,0.0367,151.416,4,0.903,0
197,0.261,0.311,5,0.737,0.569,0.311,5,0.046,-6.702,1,0.0553,167.196,4,0.912,0
198,0.00701,0.0,1,0.578,0.866,0.0,1,0.257,-3.804,1,0.0619,128.038,4,0.619,0
199,0.0934,1.73e-06,0,0.838,0.724,1.73e-06,0,0.0522,-3.025,1,0.0754,112.992,4,0.385,0
200,0.165,0.000892,9,0.694,0.831,0.000892,9,0.25,-7.288,1,0.0301,125.901,4,0.98,0
201,0.0642,0.0,11,0.893,0.745,0.0,11,0.0943,-3.105,0,0.0571,101.018,4,0.872,0
202,0.0849,0.0,2,0.73,0.433,0.0,2,0.169,-7.05,1,0.0455,94.596,4,0.572,0
203,0.0591,3.11e-06,6,0.649,0.87,3.11e-06,6,0.364,-4.918,1,0.0694,90.018,4,0.943,0
204,0.23,3.93e-06,9,0.631,0.841,3.93e-06,9,0.338,-2.785,1,0.0525,94.984,4,0.843,0
205,0.00611,0.0,7,0.701,0.7,0.0,7,0.0295,-4.934,1,0.0876,122.035,4,0.625,0
206,0.219,0.0,5,0.647,0.822,0.0,5,0.0908,-4.662,0,0.183,160.019,4,0.962,0
207,0.0415,3.16e-06,6,0.69,0.524,3.16e-06,6,0.17,-8.39,0,0.103,164.023,4,0.562,0
208,0.0139,0.0,4,0.617,0.615,0.0,4,0.0897,-6.518,1,0.0567,125.898,4,0.564,0
209,0.00482,0.000505,7,0.799,0.662,0.000505,7,0.0484,-8.585,1,0.0347,120.082,4,0.717,0
210,0.185,0.0,8,0.752,0.806,0.0,8,0.0824,-3.834,1,0.124,97.022,4,0.632,0
211,0.085,0.0,0,0.726,0.576,0.0,0,0.0458,-7.341,1,0.146,82.055,4,0.783,0
212,0.182,0.0,1,0.677,0.89,0.0,1,0.0826,-4.448,0,0.0418,97.012,4,0.764,0
213,0.00773,1.56e-06,0,0.581,0.826,1.56e-06,0,0.792,-4.87,1,0.0357,100.018,4,0.492,0
214,0.0498,1.44e-05,11,0.617,0.635,1.44e-05,11,0.164,-6.769,0,0.0317,103.019,4,0.446,0
215,0.572,0.0,8,0.416,0.773,0.0,8,0.105,-3.784,1,0.0949,122.65,4,0.716,0
216,0.5,0.0,5,0.597,0.643,0.0,5,0.0435,-6.303,1,0.134,167.963,4,0.823,0
217,0.0363,3.85e-05,11,0.778,0.831,3.85e-05,11,0.334,-4.453,1,0.201,96.998,4,0.645,0
218,0.00162,0.000617,9,0.426,0.957,0.000617,9,0.291,-5.552,1,0.0634,159.977,4,0.888,0
219,0.0866,0.0,1,0.787,0.85,0.0,1,0.103,-4.681,1,0.0549,122.024,4,0.929,0
220,0.581,0.0,1,0.825,0.652,0.0,1,0.0931,-3.183,0,0.0802,95.977,4,0.931,0
221,0.357,5.17e-06,0,0.755,0.876,5.17e-06,0,0.22,-8.867,1,0.0362,102.762,4,0.954,0
222,0.0913,0.0,10,0.651,0.794,0.0,10,0.249,-4.458,1,0.0329,135.974,4,0.792,0
223,0.627,0.0,11,0.691,0.507,0.0,11,0.457,-10.23,1,0.0343,128.518,4,0.885,0
224,0.303,0.0,1,0.658,0.678,0.0,1,0.361,-4.407,1,0.058,97.976,4,0.662,0
225,0.0114,0.0,7,0.632,0.701,0.0,7,0.108,-5.921,1,0.146,162.958,4,0.497,0
226,0.399,0.0,7,0.737,0.734,0.0,7,0.323,-4.71,1,0.156,91.999,4,0.357,0
227,0.0283,0.0,4,0.421,0.831,0.0,4,0.464,-5.128,1,0.107,134.027,4,0.488,0
228,0.116,3.35e-05,9,0.612,0.856,3.35e-05,9,0.647,-3.273,1,0.0479,112.94,4,0.681,0
229,0.133,0.0,7,0.694,0.712,0.0,7,0.211,-3.923,0,0.046,98.022,4,0.799,0
230,0.015,0.0,7,0.652,0.827,0.0,7,0.432,-3.98,0,0.0445,100.011,4,0.659,0
231,0.0383,0.0,1,0.426,0.584,0.0,1,0.188,-5.293,1,0.296,193.437,4,0.272,0
232,0.0106,1.22e-06,4,0.598,0.914,1.22e-06,4,0.369,-3.752,1,0.0878,103.972,4,0.531,0
233,0.25,0.0,4,0.491,0.802,0.0,4,0.387,-7.106,1,0.0392,119.25,4,0.472,0
234,0.00107,1.06e-05,1,0.765,0.837,1.06e-05,1,0.0801,-3.113,0,0.032,122.028,4,0.721,0
235,0.00344,4.66e-05,11,0.724,0.891,4.66e-05,11,0.3,-7.818,1,0.0995,103.022,4,0.819,0
236,0.103,3.94e-06,8,0.803,0.585,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,4,0.593,0
237,0.00758,0.0,0,0.786,0.687,0.0,0,0.619,-5.914,1,0.141,105.021,4,0.345,0
238,0.156,0.0,0,0.494,0.593,0.0,0,0.276,-4.473,1,0.176,121.471,4,0.612,0
